pid,local_id,parent,mods_genre_ms,Title
harleyspiller:49186,16-15-2,info:fedora/harleyspiller:MetadataReview11,menus,Chifa New Hong Kong
harleyspiller:29501,16-15-3,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49193,16-15-3,info:fedora/harleyspiller:MetadataReview11,menus,Jackie Chan
harleyspiller:29498,16-15-4,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49196,16-15-4,info:fedora/harleyspiller:MetadataReview11,menus,Ximin
harleyspiller:29491,16-15-5,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49190,16-15-5,info:fedora/harleyspiller:MetadataReview11,menus,Yue Mei
harleyspiller:29488,16-16-1,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49199,16-16-1,info:fedora/harleyspiller:MetadataReview11,menus,Palacio Danubio Azul
harleyspiller:29457,16-16-2,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49202,16-16-2,info:fedora/harleyspiller:MetadataReview11,menus,Palacio Danubio Azul
harleyspiller:29416,16-17-1,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49266,16-17-1,info:fedora/harleyspiller:MetadataReview11,menus,"Arcos, Los"
harleyspiller:29451,16-17-10,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49271,16-17-10,info:fedora/harleyspiller:MetadataReview11,menus,Silver River
harleyspiller:29418,16-17-11,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49239,16-17-11,info:fedora/harleyspiller:MetadataReview11,menus,Wa Lok
harleyspiller:29394,16-17-2,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49295,16-17-2,info:fedora/harleyspiller:MetadataReview11,menus,Chifa Fu Jou
