local ID,Correct Document ID,person_name,Update_Person_Note_1,role,Update Role to ,Source Data from https://docs.google.com/spreadsheets/d/1FOGLzWUCnqeR9FoqH_sUAKdSa6-gG1Rc5ncKtoT5p4k/edit#gid=684112097,related_people_original
144.0,Carte_Turche_16,Süleyman Bey,,undetermined,,,
145.0,Carte_Turche_160,Tunus kadısı,delete,Addressee,,,
146.0,Carte_Turche_160,Tunus'ta vaki olan ağalar,delete,Addressee,,,
147.0,Carte_Turche_160,Tunus'ta vaki olan zabitler,delete,Addressee,,,
148.0,Carte_Turche_161,Nakşe Kadısı,delete ,Addressee,,,
150.0,Carte_Turche_161,Süleyman Paşa,,,,,
149.0,Carte_Turche_161,Vardo,,undetermined,,,
151.0,Carte_Turche_162,Cafer İsforça Kas,delete,undetermined,,,
152.0,Carte_Turche_162,ri Benito Amay Katerina Baltra,parse,,,,Mısır Kadısı|Addressee|Porte|Sender|Cafer İsforça Kas|to|Mentioned|ri Benito Amay Katerina Baltra
153.0,Carte_Turche_163,Gelibolu Kadısı,delete,Addressee,,,
154.0,Carte_Turche_163,Mehmed Paşa,,undetermined,,,
155.0,Carte_Turche_164,Manoli Del Dimitri,,undetermined,,,
157.0,Carte_Turche_165,Anton,,undetermined,,,
158.0,Carte_Turche_165,Sipahioğullarından Ali,,undetermined,,,
156.0,Carte_Turche_165,Yakmo Bireşani,,undetermined,,,
160.0,Carte_Turche_166,enko Baltram Katerina,,undetermined,,,
159.0,Carte_Turche_166,Şaban Arab Mehmed ibn Abdullah Benito Amay Yanni Kranciko Konstantin Çoku İsforça Kas(t)iri Nikolto Nikola Yakmo Du,parse,undetermined,,,Porte|Sender|Şaban Arab Mehmed ibn Abdullah Benito Amay Yanni Kranciko Konstantin Çoku İsforça Kas(t)iri Nikolto Nikola Yakmo Du|m|Mentioned|enko Baltram Katerina
161.0,Carte_Turche_167,Hasan Paşa,,,,,
162.0,Carte_Turche_168,Memi Kethüda,,undetermined,,,
163.0,Carte_Turche_17,Mümin (kapudan),Mümin -  Kapudan ,undetermined,,,
164.0,Carte_Turche_170,Mihal,,undetermined,,,
165.0,Carte_Turche_171,Dominko Custinyan,"Giustinian, Domenico",undetermined,,,
166.0,Carte_Turche_172,Fracuan Anderya,,undetermined,,,
167.0,Carte_Turche_172,Kalmon,,Mentioned,,,
168.0,Carte_Turche_173,Yanya Kadısı,delete,Addressee,,,
171.0,Carte_Turche_174,Cevan Paurelo,,undetermined,,,
169.0,Carte_Turche_174,Osman bey,,undetermined,,,
170.0,Carte_Turche_174,Pano Marko,,undetermined,,,
172.0,Carte_Turche_175,Ayamavra Kadısı,delete,Addressee,,,
175.0,Carte_Turche_178,Boğazhisar Dizdarı,delete,undetermined,,,
173.0,Carte_Turche_178,Dergah-ı Muallam kapucubaşlarından Gelibolu'da olan Ali,delete,Addressee,,,
174.0,Carte_Turche_178,Gelibolu Kalesi Dizdarı,delete,Addressee,,,
176.0,Carte_Turche_179,Ali,,undetermined,,,
178.0,Carte_Turche_18,Boğazhisarı dizdarları,delete,Addressee,,,
177.0,Carte_Turche_18,Boğazhisarı Kadısı,delete,Addressee,,,
179.0,Carte_Turche_181,Maniya Giriti,,undetermined,,,
180.0,Carte_Turche_182,Gazi Murad,,undetermined,,,
182.0,Carte_Turche_183,İzmir Kadısı,delete,Addressee,,,
